"","new_time","2093011","2012689","2043880","2024014","2043854","2024020","2091440"
"97",2018-08-06 20:00:00,NA,NA,208.680611982,208.9513025192,209.0218761788,NA,NA
"98",2018-08-06 20:05:00,NA,NA,208.6757445456,208.9484350828,209.0180087424,NA,NA
"99",2018-08-06 20:10:00,NA,NA,208.6771823508,208.946872888,209.0174465476,NA,NA
"100",2018-08-06 20:15:00,NA,NA,208.6747737884,208.9444643256,209.0150379852,NA,NA
"101",2018-08-06 20:20:00,NA,NA,208.6742326624,208.9419231996,209.0144968592,NA,NA
"102",2018-08-06 20:25:00,NA,NA,208.6713448316,208.9390353688,209.0156090284,NA,NA
"103",2018-08-06 20:30:00,NA,NA,208.6712530568,208.938943594,209.0145172536,NA,NA
"104",2018-08-06 20:35:00,NA,NA,208.6692013964,208.9398919336,209.0104655932,NA,NA
"105",2018-08-06 20:40:00,NA,NA,208.6695684956,208.9372590328,209.0098326924,NA,NA
"106",2018-08-06 20:45:00,NA,NA,208.6676799904,208.9353705276,209.0089441872,NA,NA
"107",2018-08-06 20:50:00,NA,NA,208.66709875,208.9347892872,209.0053629468,NA,NA
"108",2018-08-06 20:55:00,NA,NA,208.666271428,208.9359619652,209.0055356248,NA,NA
"109",2018-08-06 21:00:00,NA,NA,208.6686697932,208.9323603304,209.00293399,NA,NA
"110",2018-08-06 21:05:00,NA,NA,208.6661911992,208.9308817364,209.001455396,NA,NA
"111",2018-08-06 21:10:00,NA,NA,208.6650389156,208.9267294528,208.9973031124,NA,NA
"112",2018-08-06 21:15:00,NA,NA,208.666518184,208.9272087212,208.9977823808,NA,NA
"113",2018-08-06 21:20:00,NA,NA,208.6666609448,208.924351482,208.9979251416,NA,NA
"114",2018-08-06 21:25:00,NA,NA,208.6622619052,208.9259524424,208.999526102,NA,NA
"115",2018-08-06 21:30:00,NA,NA,208.666220442,208.9269109792,208.9994846388,NA,NA
"116",2018-08-06 21:35:00,NA,NA,208.6664039916,208.9270945288,208.9996681884,NA,NA
"117",2018-08-06 21:40:00,NA,NA,208.6638132284,208.9255037656,208.9980774252,NA,NA
"118",2018-08-06 21:45:00,NA,NA,208.662710582,208.9264011192,209.0019747788,NA,NA
"119",2018-08-06 21:50:00,NA,NA,208.6622816252,208.9239721624,209.000545822,NA,NA
"120",2018-08-06 21:55:00,NA,NA,208.6587513708,208.926441908,209.0000155676,NA,NA
"121",2018-08-06 22:00:00,NA,NA,208.6599859064,208.9266764436,209.0002501032,NA,NA
"122",2018-08-06 22:05:00,NA,NA,208.6594549776,208.9241455148,209.0007191744,NA,NA
"123",2018-08-06 22:10:00,NA,NA,208.6600158236,208.9247063608,208.9982800204,NA,NA
"124",2018-08-06 22:15:00,NA,NA,208.6608621912,208.9255527284,209.001126388,NA,NA
"125",2018-08-06 22:20:00,NA,NA,208.6609947548,208.925685292,209.0042589516,NA,NA
"126",2018-08-06 22:25:00,NA,NA,208.6583217396,208.9250122768,209.0015859364,NA,NA
"127",2018-08-06 22:30:00,NA,NA,208.6602809508,208.921971488,209.0015451476,NA,NA
"128",2018-08-06 22:35:00,NA,NA,208.6608417968,208.925532334,209.0021059936,NA,NA
"129",2018-08-06 22:40:00,NA,NA,208.6585664724,208.9252570096,209.0008306692,NA,NA
"130",2018-08-06 22:45:00,NA,NA,208.6591681072,208.9258586444,209.004432304,NA,NA
"131",2018-08-06 22:50:00,NA,NA,208.659769742,208.9264602792,209.0030339388,NA,NA
"132",2018-08-06 22:55:00,NA,NA,208.659973686,208.9266642232,209.0032378828,NA,NA
"133",2018-08-06 23:00:00,NA,NA,208.6600042776,208.9296948148,209.0062684744,NA,NA
"134",2018-08-06 23:05:00,NA,NA,208.6593917712,208.9300823084,209.005655968,NA,NA
"135",2018-08-06 23:10:00,NA,NA,208.6617276044,208.9284181416,209.0099918012,NA,NA
"136",2018-08-06 23:15:00,NA,NA,208.6587174072,208.9314079444,209.007981604,NA,NA
"137",2018-08-06 23:20:00,NA,NA,208.661064112,208.9317546492,209.0083283088,NA,NA
"138",2018-08-06 23:25:00,NA,NA,208.6642068728,208.93189741,209.0104710696,NA,NA
"139",2018-08-06 23:30:00,NA,NA,208.6632265928,208.93291713,209.0114907896,NA,NA
"140",2018-08-06 23:35:00,NA,NA,208.66198186,208.9356723972,209.0112460568,NA,NA
"141",2018-08-06 23:40:00,NA,NA,208.6628594936,208.9325500308,209.0091236904,NA,NA
"142",2018-08-06 23:45:00,NA,NA,208.6647575216,208.9324480588,209.0080217184,NA,NA
"143",2018-08-06 23:50:00,NA,NA,208.6648594936,208.9355500308,209.0061236904,NA,NA
"144",2018-08-06 23:55:00,NA,NA,208.6627371272,208.9354276644,209.009001324,NA,NA
"145",2018-08-07 00:00:00,NA,NA,208.6647575216,208.9324480588,209.0110217184,NA,NA
"146",2018-08-07 00:05:00,NA,NA,208.6649716628,208.9326622,209.0112358596,NA,NA
"147",2018-08-07 00:10:00,NA,NA,208.6626147608,208.932305298,209.0088789576,NA,NA
"148",2018-08-07 00:15:00,NA,NA,208.6640947036,208.9317852408,209.0073589004,NA,NA
"149",2018-08-07 00:20:00,NA,NA,208.6617683932,208.9344589304,209.00703259,NA,NA
