"","new_time","mon_PT_","2091437","2093013","2024014","2093007"
"1",2019-07-13 11:00:00,NA,2.3990685556,2.9689319456,2.9123398336,2.8947925568
"2",2019-07-13 11:15:00,NA,2.4019319456,2.9663398336,2.9037925568,2.9039598396
"3",2019-07-13 11:30:00,NA,2.4053398336,2.9637925568,2.9159598396,2.9037783132
"4",2019-07-13 11:45:00,NA,2.4027925568,2.9759598396,2.9097783132,2.9044717228
"5",2019-07-13 12:00:00,NA,2.4149598396,2.9697783132,2.9134717228,2.91009038
"6",2019-07-13 12:15:00,NA,2.4147783132,2.9764717228,2.92209038,2.9068802852
"7",2019-07-13 12:30:00,NA,2.4214717228,2.98209038,2.9158802852,2.9066457496
"8",2019-07-13 12:45:00,NA,2.42409038,2.9788802852,2.9186457496,2.9098680648
"9",2019-07-13 13:00:00,NA,2.4238802852,2.9816457496,2.9248680648,2.916999954
"10",2019-07-13 13:15:00,NA,2.4266457496,2.9848680648,2.925999954,2.9180502656
"11",2019-07-13 13:30:00,NA,2.4268680648,2.988999954,2.9300502656,2.9080753808
"12",2019-07-13 13:45:00,NA,2.433999954,2.9930502656,2.9230753808,2.9189252016
"13",2019-07-13 14:00:00,NA,2.4380502656,2.9890753808,2.9369252016,2.9280863336
"14",2019-07-13 14:15:00,NA,2.4280753808,2.9969252016,2.9400863336,2.9230876824
"15",2019-07-13 14:30:00,NA,2.4419252016,3.0090863336,2.9410876824,2.9297606976
"16",2019-07-13 14:45:00,NA,2.4480863336,3.0070876824,2.9447606976,2.9257124092
"17",2019-07-13 15:00:00,NA,2.4520876824,3.0077606976,2.9407124092,2.9302705576
"18",2019-07-13 15:15:00,NA,2.4527606976,3.0067124092,2.9512705576,2.9343310664
"19",2019-07-13 15:30:00,NA,2.4487124092,3.0142705576,2.9493310664,2.9419809896
"20",2019-07-13 15:45:00,NA,2.4592705576,3.0153310664,2.9569809896,2.9382467912
"21",2019-07-13 16:00:00,NA,2.4603310664,3.0229809896,2.9592467912,2.9397172112
"22",2019-07-13 16:15:00,NA,2.4679809896,3.0252467912,2.9577172112,2.939707014
"23",2019-07-13 16:30:00,NA,2.4702467912,3.0267172112,2.960707014,2.9408919124
"24",2019-07-13 16:45:00,NA,2.4687172112,3.029707014,2.9618919124,2.9474527584
"25",2019-07-13 17:00:00,NA,2.474707014,3.0278919124,2.9654527584,2.948859972
"26",2019-07-13 17:15:00,NA,2.4728919124,3.0314527584,2.966859972,2.94754251
"27",2019-07-13 17:30:00,NA,2.4764527584,3.035859972,2.97154251,2.9517049908
"28",2019-07-13 17:45:00,NA,2.477859972,3.03754251,2.9757049908,2.9543990748
"29",2019-07-13 18:00:00,NA,2.48554251,3.0417049908,2.9783990748,2.9567566512
"30",2019-07-13 18:15:00,NA,2.4867049908,3.0443990748,2.9777566512,2.9581128788
"31",2019-07-13 18:30:00,NA,2.4893990748,3.0437566512,2.9821128788,2.9580007096
"32",2019-07-13 18:45:00,NA,2.4917566512,3.0481128788,2.9850007096,2.9613168228
"33",2019-07-13 19:00:00,NA,2.4961128788,3.0510007096,2.9853168228,2.9639089348
"34",2019-07-13 19:15:00,NA,2.4960007096,3.0573168228,2.9879089348,2.9671128788
"35",2019-07-13 19:30:00,NA,2.4993168228,3.0569089348,2.9911128788,2.9707247108
"36",2019-07-13 19:45:00,NA,2.4989089348,3.0571128788,2.9947247108,2.9735105696
"37",2019-07-13 20:00:00,NA,2.5051128788,3.0637247108,2.9975105696,2.9702454424
"38",2019-07-13 20:15:00,NA,2.5087247108,3.0635105696,2.9972454424,2.9773569372
"39",2019-07-13 20:30:00,NA,2.5115105696,3.0662454424,2.9983569372,2.9780911356
"40",2019-07-13 20:45:00,NA,2.5082454424,3.0733569372,3.0020911356,2.9820904612
"41",2019-07-13 21:00:00,NA,2.5153569372,3.0710911356,3.0060904612,2.985947026
"42",2019-07-13 21:15:00,NA,2.5190911356,3.0750904612,3.006947026,2.986456886
"43",2019-07-13 21:30:00,NA,2.5230904612,3.081947026,3.010456886,2.9898035908
"44",2019-07-13 21:45:00,NA,2.526947026,3.079456886,3.0138035908,2.9861407728
"45",2019-07-13 22:00:00,NA,2.527456886,3.0828035908,3.0131407728,2.990476606
"46",2019-07-13 22:15:00,NA,2.5308035908,3.0851407728,3.017476606,2.9909048884
"47",2019-07-13 22:30:00,NA,2.5361407728,3.089476606,3.0209048884,2.9938437052
"48",2019-07-13 22:45:00,NA,2.540476606,3.0929048884,3.0208437052,2.9966703528
"49",2019-07-13 23:00:00,NA,2.5409048884,3.0958437052,3.0206703528,2.9940272548
"50",2019-07-13 23:15:00,NA,2.5438437052,3.0926703528,3.0240272548,2.9975371148
"51",2019-07-13 23:30:00,NA,2.5466703528,3.1020272548,3.0305371148,3.0010367776
"52",2019-07-13 23:45:00,NA,2.5500272548,3.0995371148,3.0280367776,3.0047403844
"53",2019-07-14 00:00:00,NA,2.5535371148,3.1030367776,3.0317403844,3.0087804988
"54",2019-07-14 00:15:00,NA,2.5540367776,3.1067403844,3.0327804988,3.006963374
"55",2019-07-14 00:30:00,NA,2.5577403844,3.1107804988,3.036963374,3.0120945888
"56",2019-07-14 00:45:00,NA,2.5587804988,3.114963374,3.0420945888,3.0137669296
"57",2019-07-14 01:00:00,NA,2.562963374,3.1170945888,3.0437669296,3.0156840032
"58",2019-07-14 01:15:00,NA,2.5680945888,3.1187669296,3.0486840032,3.0201116112
"59",2019-07-14 01:30:00,NA,2.5727669296,3.1206840032,3.0501116112,3.0185086276
"60",2019-07-14 01:45:00,NA,2.5776840032,3.1251116112,3.0485086276,3.0191204596
"61",2019-07-14 02:00:00,NA,2.5791116112,3.1265086276,3.0491204596,3.02193691
"62",2019-07-14 02:15:00,NA,2.5805086276,3.1271204596,3.05493691,3.0218247408
"63",2019-07-14 02:30:00,NA,2.5841204596,3.12993691,3.0518247408,3.02168198
"64",2019-07-14 02:45:00,NA,2.58693691,3.1298247408,3.05468198,3.0242414772
"65",2019-07-14 03:00:00,NA,2.5898247408,3.13268198,3.0602414772,3.0322809172
"66",2019-07-14 03:15:00,NA,2.59268198,3.1382414772,3.0622809172,3.0311368076
"67",2019-07-14 03:30:00,NA,2.6012414772,3.1432809172,3.0671368076,3.0387581624
"68",2019-07-14 03:45:00,NA,2.6002809172,3.1421368076,3.0657581624,3.040726222
"69",2019-07-14 04:00:00,NA,2.6051368076,3.1467581624,3.070726222,3.0418785056
"70",2019-07-14 04:15:00,NA,2.6067581624,3.148726222,3.0718785056,3.0445909608
"71",2019-07-14 04:30:00,NA,2.611726222,3.1498785056,3.0745909608,3.0440382888
"72",2019-07-14 04:45:00,NA,2.6098785056,3.1555909608,3.0800382888,3.0503829704
"73",2019-07-14 05:00:00,NA,2.6125909608,3.1610382888,3.0833829704,3.0478010556
"74",2019-07-14 05:15:00,NA,2.6150382888,3.1613829704,3.0778010556,3.0475950884
"75",2019-07-14 05:30:00,NA,2.6243829704,3.1648010556,3.0835950884,3.0512701268
"76",2019-07-14 05:45:00,NA,2.6218010556,3.1675950884,3.0812701268,3.0472483836
"77",2019-07-14 06:00:00,NA,2.6305950884,3.1652701268,3.0832483836,3.05515526
"78",2019-07-14 06:15:00,NA,2.6282701268,3.1642483836,3.08215526,3.0546637712
"79",2019-07-14 06:30:00,NA,2.6332483836,3.17515526,3.0906637712,3.055061462
"80",2019-07-14 06:45:00,NA,2.63815526,3.1776637712,3.094061462,3.06044963
"81",2019-07-14 07:00:00,NA,2.6406637712,3.175061462,3.09044963,3.0562463604
